Country Code,avg_score
BM,0
VG,0
KY,20.5
ER,2.5
PF,0
GI,0
KP,0
NC,0
MF,0
SY,0.5
MC,62.66666667
LI,33.33333333
LU,79.33333333
IM,62.66666667
CH,74.33333333
MO,33.66666667
NO,74
QA,65
IE,96.66666667
DK,77.66666667
SG,83.66666667
US,80
AU,75
IS,85
FO,31.66666667
SE,83.66666667
SM,36.66666667
NL,78.33333333
GL,54.33333333
AT,70
CA,71.33333333
FI,70
DE,77
GB,79
BE,75.33333333
HK,79
NZ,75.66666667
AE,87.33333333
FR,70
AD,54
JP,72.33333333
IL,72
GU,36.33333333
VI,35.66666667
KW,54.66666667
BN,51
IT,66.66666667
BS,51.66666667
PR,37
KR,78
ES,80
AW,32.66666667
MT,83
CY,69.66666667
TC,55.66666667
BH,62.66666667
SI,74
SA,60
PT,73.33333333
GR,60.66666667
CZ,80
EE,74.66666667
KN,46.66666667
TT,33.66666667
MP,58.66666667
SK,76.33333333
OM,52.33333333
VE,39
BB,35.66666667
UY,59.66666667
PW,54.66666667
LT,80
SC,47.33333333
AG,52
LV,76
CL,60
PA,76.66666667
GQ,25.33333333
HU,78.66666667
PL,77.33333333
AR,48.66666667
HR,67.66666667
AS,28.66666667
TR,74.66666667
CR,60.66666667
RU,40.33333333
KZ,50.66666667
MY,78
BR,46.33333333
MX,63.33333333
MU,60
RO,75.66666667
LC,32
GD,51
MV,47
NR,53
GA,28
CN,81
SR,20.33333333
DM,31.66666667
LB,39
CU,40
BG,69.66666667
BW,47.66666667
ME,53
TM,52.66666667
VC,30.33333333
CO,51
DO,68.33333333
BY,31.66666667
PE,56.66666667
EC,41
RS,54
TH,62.66666667
ZA,51.33333333
AZ,29
PY,54.33333333
FJ,53
IQ,38
IR,58.33333333
NA,54.33333333
MK,52
BA,60.66666667
LY,20.66666667
BZ,21.33333333
JM,36.66666667
DZ,47.66666667
AO,22.33333333
GY,49.66666667
TO,39.33333333
AL,42
WS,34.66666667
JO,38.66666667
GE,46.33333333
TN,35.33333333
GT,44.33333333
MN,38.33333333
LK,58.33333333
AM,38.33333333
SV,49.66666667
SZ,24
EG,51.33333333
ID,62.66666667
TV,37
CV,22.66666667
MH,17
BO,41.33333333
PS,18.66666667
MA,40
FM,16.66666667
VU,15
PH,62.66666667
BT,45
NG,34.33333333
PG,52
TL,11
UZ,46.33333333
UA,32.33333333
MD,48.33333333
SD,30
HN,39
CG,17.66666667
LA,43
VN,62.66666667
NI,47.33333333
SB,25.66666667
GH,31.33333333
DJ,44
ST,42.66666667
IN,65.33333333
KI,33.66666667
CI,55
YE,8.666666667
ZM,24
ZW,14.66666667
CM,29.33333333
KM,21
KE,53
PK,49
SN,42
BD,49.33333333
MR,13
LS,27
MM,41.66666667
KH,55
KG,24.66666667
TZ,46.33333333
TJ,37
SS,4.333333333
BJ,26.66666667
TD,10.66666667
HT,12
ML,38
NP,35.33333333
GN,36.66666667
RW,54.33333333
LR,11.33333333
UG,39.66666667
GM,9
ET,45
GW,25.66666667
BF,35.33333333
SL,3.333333333
TG,33
AF,6.333333333
MZ,33.33333333
CD,24.33333333
SO,1.333333333
MG,15
CF,26
NE,26.33333333
MW,31.33333333
BI,13.66666667
