,comm_code,country,score
0,50290,Barbados,43.75
1,50290,Belarus,31.5
2,50290,Bermuda,66.75
3,50290,Chile,54.0
4,50290,"China, Hong Kong SAR",66.0
5,50290,Czech Rep.,43.5
6,50290,Denmark,33.0
7,50290,Ecuador,56.25
8,50290,Estonia,44.5
9,50290,Finland,50.0
10,50290,Georgia,26.25
11,50290,Greece,57.75
12,50290,Guyana,28.0
13,50290,Iceland,56.0
14,50290,Indonesia,62.5
15,50290,Ireland,22.5
16,50290,Israel,64.25
17,50290,Kyrgyzstan,24.5
18,50290,Latvia,25.5
19,50290,Lithuania,59.25
20,50290,Mexico,32.5
21,50290,Mozambique,31.0
22,50290,New Zealand,36.0
23,50290,Pakistan,32.5
24,50290,Paraguay,30.75
25,50290,Philippines,54.5
26,50290,Portugal,61.75
27,50290,Serbia,48.0
28,50290,Sweden,36.75
29,50290,Switzerland,51.25
30,50290,TFYR of Macedonia,32.5
31,50290,United Kingdom,46.75
32,50290,Zambia,50.75
33,50290,Zimbabwe,10.25
34,50290,Albania,60.25
35,50290,Algeria,67.5
36,50290,Antigua and Barbuda,32.5
37,50290,Argentina,19.25
38,50290,Armenia,32.5
39,50290,Aruba,57.0
40,50290,Australia,13.75
41,50290,Austria,37.0
42,50290,Azerbaijan,32.5
43,50290,Belgium,61.75
44,50290,Belize,32.5
45,50290,Benin,32.5
46,50290,Bolivia (Plurinational State of),66.25
47,50290,Bosnia Herzegovina,67.5
48,50290,Botswana,52.25
49,50290,Brazil,38.25
50,50290,Brunei Darussalam,62.25
51,50290,Bulgaria,60.25
52,50290,Burkina Faso,62.75
53,50290,Burundi,61.0
54,50290,Cabo Verde,32.5
55,50290,Cameroon,32.5
56,50290,Canada,38.75
57,50290,Central African Rep.,32.5
58,50290,China,13.75
59,50290,Colombia,25.25
60,50290,Congo,27.5
61,50290,Costa Rica,71.0
62,50290,Côte d'Ivoire,43.75
63,50290,Croatia,59.25
64,50290,Cyprus,57.25
65,50290,Dominican Rep.,55.0
66,50290,Egypt,40.5
67,50290,El Salvador,48.25
68,50290,EU-28,55.0
69,50290,Fiji,30.0
70,50290,France,44.25
71,50290,Gambia,60.0
72,50290,Germany,59.0
73,50290,Ghana,64.5
74,50290,Guatemala,12.5
75,50290,Honduras,24.0
76,50290,Hungary,32.5
77,50290,India,52.5
78,50290,Iran,72.25
79,50290,Italy,46.75
80,50290,Jamaica,63.75
81,50290,Japan,48.5
82,50290,Jordan,23.5
83,50290,Kazakhstan,28.25
84,50290,Kenya,42.25
85,50290,Kuwait,53.5
86,50290,Lebanon,68.75
87,50290,Lesotho,67.25
88,50290,Luxembourg,31.75
89,50290,Madagascar,25.0
90,50290,Malawi,40.0
91,50290,Malaysia,44.0
92,50290,Maldives,32.5
93,50290,Mali,49.0
94,50290,Mauritania,32.5
95,50290,Mauritius,64.0
96,50290,Mongolia,26.0
97,50290,Montenegro,24.75
98,50290,Morocco,69.25
99,50290,Myanmar,44.0
100,50290,Namibia,25.75
101,50290,Nepal,39.0
102,50290,Netherlands,63.25
103,50290,Nicaragua,60.0
104,50290,Nigeria,62.5
105,50290,Norway,32.0
106,50290,Oman,32.5
107,50290,Palau,59.75
108,50290,Peru,23.75
109,50290,Poland,31.5
110,50290,Rep. of Korea,45.25
111,50290,Rep. of Moldova,38.25
112,50290,Romania,31.0
113,50290,Russian Federation,49.75
114,50290,Saint Kitts and Nevis,35.25
115,50290,Saint Lucia,29.0
116,50290,Saint Vincent and the Grenadines,60.75
117,50290,Samoa,56.25
118,50290,Sao Tome and Principe,32.5
119,50290,Senegal,32.5
120,50290,Seychelles,46.75
121,50290,Sierra Leone,31.0
122,50290,Singapore,45.75
123,50290,Slovakia,41.75
124,50290,Slovenia,35.0
125,50290,Solomon Isds,32.5
126,50290,South Africa,22.25
127,50290,Spain,42.5
128,50290,Sri Lanka,49.5
129,50290,Sudan,32.5
130,50290,Suriname,32.5
131,50290,Swaziland,43.75
132,50290,Timor-Leste,14.0
133,50290,Togo,32.5
134,50290,Tunisia,53.5
135,50290,Turkey,57.5
136,50290,Uganda,33.5
137,50290,Ukraine,75.0
138,50290,United Rep. of Tanzania,58.0
139,50290,Uruguay,18.0
140,50290,USA,15.0
141,50290,Viet Nam,69.75
142,50290,Afghanistan,32.5
143,50290,Bahrain,67.0
144,50290,Cambodia,50.0
145,50290,Ethiopia,33.75
146,50290,Greenland,28.0
147,50290,Malta,68.25
148,50290,Niger,63.25
149,50290,"Other Asia, nes",13.0
150,50290,Panama,71.5
151,50290,Qatar,68.75
152,50290,Rwanda,49.25
153,50290,Saudi Arabia,62.5
154,50290,Thailand,49.75
155,50290,United Arab Emirates,36.0
156,50290,Bahamas,56.25
157,50290,Bangladesh,40.25
158,50290,French Polynesia,32.5
159,50290,Lao People's Dem. Rep.,26.75
160,50290,New Caledonia,32.5
161,50290,Trinidad and Tobago,52.0
162,50290,Yemen,68.0
163,50290,Angola,48.5
164,50290,Tonga,61.5
165,50290,FS Micronesia,63.0
166,50290,State of Palestine,31.5
167,50290,Venezuela,67.5
168,50290,Bhutan,60.0
169,50290,Comoros,25.5
170,50290,Dominica,32.5
171,50290,Papua New Guinea,72.25
172,50290,Turks and Caicos Isds,43.5
173,50290,"China, Macao SAR",25.5
174,50290,Kiribati,32.5
175,50290,Guinea,32.5
176,50290,Andorra,32.5
177,50290,Vanuatu,41.25
178,50290,Fmr Sudan,29.5
179,50290,Faeroe Isds,62.25
180,50290,Gabon,32.5
181,50290,Mayotte,32.5
182,50290,Neth. Antilles,62.0
183,50290,Anguilla,32.5
184,50290,Cuba,28.75
185,50290,Serbia and Montenegro,46.5
186,50290,Eritrea,32.5
187,50290,Iraq,32.5
188,50290,Montserrat,32.5
189,50290,Cook Isds,32.5
190,50290,So. African Customs Union,52.0
191,50290,Belgium-Luxembourg,59.75
192,50290,Haiti,26.0
193,50290,Grenada,32.5
194,50290,Chad,32.5
195,50290,French Guiana,32.5
196,50290,Guadeloupe,32.5
197,50290,Réunion,32.5
198,50290,Martinique,32.5
199,50290,Fmr Fed. Rep. of Germany,16.75
200,50290,Djibouti,32.5
201,50290,Libya,32.5
202,50290,Syria,32.5
203,50290,Tuvalu,32.5
204,50290,Wallis and Futuna Isds,32.5
205,50290,Guinea-Bissau,32.5
206,50290,Turkmenistan,32.5
207,70390,Barbados,47.5
208,70390,Belarus,51.0
209,70390,Bermuda,30.25
210,70390,Chile,34.75
211,70390,"China, Hong Kong SAR",41.25
212,70390,Czech Rep.,51.5
213,70390,Denmark,52.0
214,70390,Ecuador,41.25
215,70390,Estonia,46.5
216,70390,Finland,65.0
217,70390,Georgia,39.5
218,70390,Greece,39.75
219,70390,Guyana,32.25
220,70390,Iceland,50.75
221,70390,Indonesia,27.5
222,70390,Ireland,40.25
223,70390,Israel,32.5
224,70390,Kyrgyzstan,16.0
225,70390,Latvia,38.0
226,70390,Lithuania,51.25
227,70390,Mexico,49.5
228,70390,Mozambique,49.75
229,70390,New Zealand,19.0
230,70390,Pakistan,29.25
231,70390,Paraguay,32.5
232,70390,Philippines,27.0
233,70390,Portugal,33.0
234,70390,Serbia,32.25
235,70390,Sweden,43.75
236,70390,Switzerland,47.75
237,70390,TFYR of Macedonia,48.75
238,70390,United Kingdom,60.5
239,70390,Zambia,60.75
240,70390,Zimbabwe,50.25
241,70390,Albania,22.5
242,70390,Algeria,46.0
243,70390,Antigua and Barbuda,58.75
244,70390,Argentina,24.5
245,70390,Armenia,32.5
246,70390,Aruba,73.25
247,70390,Australia,42.0
248,70390,Austria,52.0
249,70390,Azerbaijan,32.0
250,70390,Belgium,40.75
251,70390,Belize,58.5
252,70390,Benin,62.75
253,70390,Bolivia (Plurinational State of),32.5
254,70390,Bosnia Herzegovina,31.5
255,70390,Botswana,32.0
256,70390,Brazil,61.0
257,70390,Brunei Darussalam,69.0
258,70390,Bulgaria,43.75
259,70390,Burkina Faso,53.75
260,70390,Burundi,62.5
261,70390,Cabo Verde,67.75
262,70390,Cameroon,28.75
263,70390,Canada,54.0
264,70390,Central African Rep.,39.25
265,70390,China,6.25
266,70390,Colombia,20.5
267,70390,Congo,51.5
268,70390,Costa Rica,29.0
269,70390,Côte d'Ivoire,57.75
270,70390,Croatia,58.25
271,70390,Cyprus,57.0
272,70390,Dominican Rep.,17.0
273,70390,Egypt,15.5
274,70390,El Salvador,20.5
275,70390,EU-28,62.25
276,70390,Fiji,38.0
277,70390,France,55.75
278,70390,Gambia,44.25
279,70390,Germany,59.75
280,70390,Ghana,44.0
281,70390,Guatemala,56.5
282,70390,Honduras,66.75
283,70390,Hungary,56.0
284,70390,India,49.25
285,70390,Iran,28.0
286,70390,Italy,50.75
287,70390,Jamaica,45.5
288,70390,Japan,41.5
289,70390,Jordan,69.75
290,70390,Kazakhstan,35.0
291,70390,Kenya,40.5
292,70390,Kuwait,19.25
293,70390,Lebanon,59.0
294,70390,Lesotho,60.0
295,70390,Luxembourg,41.25
296,70390,Madagascar,40.5
297,70390,Malawi,60.5
298,70390,Malaysia,69.0
299,70390,Maldives,76.0
300,70390,Mali,66.25
301,70390,Mauritania,66.25
302,70390,Mauritius,60.25
303,70390,Mongolia,72.0
304,70390,Montenegro,61.0
305,70390,Morocco,17.25
306,70390,Myanmar,19.5
307,70390,Namibia,60.75
308,70390,Nepal,54.0
309,70390,Netherlands,44.0
310,70390,Nicaragua,67.75
311,70390,Nigeria,50.5
312,70390,Norway,70.75
313,70390,Oman,52.25
314,70390,Palau,63.75
315,70390,Peru,39.5
316,70390,Poland,34.0
317,70390,Rep. of Korea,41.25
318,70390,Rep. of Moldova,52.5
319,70390,Romania,67.25
320,70390,Russian Federation,31.0
321,70390,Saint Kitts and Nevis,52.75
322,70390,Saint Lucia,65.0
323,70390,Saint Vincent and the Grenadines,18.0
324,70390,Samoa,46.25
325,70390,Sao Tome and Principe,45.5
326,70390,Senegal,24.25
327,70390,Seychelles,64.25
328,70390,Sierra Leone,46.25
329,70390,Singapore,68.25
330,70390,Slovakia,42.5
331,70390,Slovenia,55.75
332,70390,Solomon Isds,58.75
333,70390,South Africa,21.25
334,70390,Spain,37.25
335,70390,Sri Lanka,35.75
336,70390,Sudan,41.75
337,70390,Suriname,27.75
338,70390,Swaziland,55.25
339,70390,Timor-Leste,27.75
340,70390,Togo,69.25
341,70390,Tunisia,31.5
342,70390,Turkey,30.5
343,70390,Uganda,50.75
344,70390,Ukraine,37.5
345,70390,United Rep. of Tanzania,4.5
346,70390,Uruguay,26.25
347,70390,USA,70.0
348,70390,Viet Nam,17.5
349,70390,Afghanistan,22.25
350,70390,Bahrain,43.75
351,70390,Cambodia,64.75
352,70390,Ethiopia,12.0
353,70390,Greenland,52.25
354,70390,Malta,67.5
355,70390,Niger,7.5
356,70390,"Other Asia, nes",48.25
357,70390,Panama,42.25
358,70390,Qatar,67.25
359,70390,Rwanda,62.75
360,70390,Saudi Arabia,36.25
361,70390,Thailand,56.0
362,70390,United Arab Emirates,71.5
363,70390,Bahamas,73.0
364,70390,Bangladesh,33.75
365,70390,French Polynesia,62.0
366,70390,Lao People's Dem. Rep.,39.5
367,70390,New Caledonia,54.5
368,70390,Trinidad and Tobago,23.5
369,70390,Yemen,6.5
370,70390,Angola,69.5
371,70390,Tonga,46.5
372,70390,FS Micronesia,68.0
373,70390,State of Palestine,32.5
374,70390,Venezuela,4.25
375,70390,Bhutan,63.5
376,70390,Comoros,26.75
377,70390,Dominica,36.5
378,70390,Papua New Guinea,68.0
379,70390,Turks and Caicos Isds,69.25
380,70390,"China, Macao SAR",76.0
381,70390,Kiribati,47.0
382,70390,Guinea,49.5
383,70390,Andorra,46.25
384,70390,Vanuatu,29.0
385,70390,Fmr Sudan,32.5
386,70390,Faeroe Isds,32.5
387,70390,Gabon,32.5
388,70390,Mayotte,32.5
389,70390,Neth. Antilles,32.5
390,70390,Anguilla,32.5
391,70390,Cuba,32.5
392,70390,Serbia and Montenegro,32.5
393,70390,Eritrea,32.5
394,70390,Iraq,32.5
395,70390,Montserrat,62.5
396,70390,Cook Isds,65.25
397,70390,So. African Customs Union,32.5
398,70390,Belgium-Luxembourg,32.5
399,70390,Haiti,32.5
400,70390,Grenada,32.5
401,70390,Chad,32.5
402,70390,French Guiana,32.5
403,70390,Guadeloupe,32.5
404,70390,Réunion,32.5
405,70390,Martinique,32.5
406,70390,Fmr Fed. Rep. of Germany,32.5
407,70390,Djibouti,32.5
408,70390,Libya,32.5
409,70390,Syria,32.5
410,70390,Tuvalu,32.5
411,70390,Wallis and Futuna Isds,32.5
412,70390,Guinea-Bissau,32.5
413,70390,Turkmenistan,32.5
414,70410,Barbados,42.25
415,70410,Belarus,43.75
416,70410,Bermuda,64.0
417,70410,Chile,37.0
418,70410,"China, Hong Kong SAR",59.75
419,70410,Czech Rep.,48.25
420,70410,Denmark,49.0
421,70410,Ecuador,36.5
422,70410,Estonia,41.5
423,70410,Finland,41.25
424,70410,Georgia,42.5
425,70410,Greece,38.75
426,70410,Guyana,59.0
427,70410,Iceland,37.5
428,70410,Indonesia,57.75
429,70410,Ireland,61.5
430,70410,Israel,51.25
431,70410,Kyrgyzstan,66.5
432,70410,Latvia,55.25
433,70410,Lithuania,49.25
434,70410,Mexico,16.5
435,70410,Mozambique,35.25
436,70410,New Zealand,24.25
437,70410,Pakistan,52.5
438,70410,Paraguay,48.5
439,70410,Philippines,23.75
440,70410,Portugal,44.0
441,70410,Serbia,48.5
442,70410,Sweden,46.5
443,70410,Switzerland,54.0
444,70410,TFYR of Macedonia,19.25
445,70410,United Kingdom,56.0
446,70410,Zambia,21.0
447,70410,Zimbabwe,28.75
448,70410,Albania,15.25
449,70410,Algeria,17.75
450,70410,Antigua and Barbuda,68.0
451,70410,Argentina,32.5
452,70410,Armenia,14.0
453,70410,Aruba,65.75
454,70410,Australia,5.5
455,70410,Austria,47.5
456,70410,Azerbaijan,36.25
457,70410,Belgium,45.75
458,70410,Belize,56.25
459,70410,Benin,25.5
460,70410,Bolivia (Plurinational State of),32.5
461,70410,Bosnia Herzegovina,56.5
462,70410,Botswana,36.0
463,70410,Brazil,34.75
464,70410,Brunei Darussalam,67.5
465,70410,Bulgaria,55.75
466,70410,Burkina Faso,41.0
467,70410,Burundi,43.0
468,70410,Cabo Verde,45.25
469,70410,Cameroon,25.5
470,70410,Canada,51.75
471,70410,Central African Rep.,32.5
472,70410,China,33.75
473,70410,Colombia,50.5
474,70410,Congo,53.0
475,70410,Costa Rica,20.0
476,70410,Côte d'Ivoire,40.0
477,70410,Croatia,70.25
478,70410,Cyprus,28.5
479,70410,Dominican Rep.,34.25
480,70410,Egypt,27.25
481,70410,El Salvador,23.25
482,70410,EU-28,40.25
483,70410,Fiji,54.0
484,70410,France,44.25
485,70410,Gambia,32.5
486,70410,Germany,65.25
487,70410,Ghana,51.75
488,70410,Guatemala,50.75
489,70410,Honduras,45.0
490,70410,Hungary,72.0
491,70410,India,25.75
492,70410,Iran,30.5
493,70410,Italy,25.25
494,70410,Jamaica,39.0
495,70410,Japan,56.0
496,70410,Jordan,36.25
497,70410,Kazakhstan,44.5
498,70410,Kenya,59.0
499,70410,Kuwait,59.25
500,70410,Lebanon,68.75
501,70410,Lesotho,58.0
502,70410,Luxembourg,35.0
503,70410,Madagascar,28.75
504,70410,Malawi,63.25
505,70410,Malaysia,69.0
506,70410,Maldives,72.75
507,70410,Mali,43.25
508,70410,Mauritania,42.75
509,70410,Mauritius,35.5
510,70410,Mongolia,69.0
511,70410,Montenegro,56.5
512,70410,Morocco,35.0
513,70410,Myanmar,66.25
514,70410,Namibia,44.75
515,70410,Nepal,39.75
516,70410,Netherlands,41.5
517,70410,Nicaragua,49.0
518,70410,Nigeria,66.75
519,70410,Norway,46.0
520,70410,Oman,63.25
521,70410,Palau,50.5
522,70410,Peru,39.0
523,70410,Poland,56.25
524,70410,Rep. of Korea,38.25
525,70410,Rep. of Moldova,34.5
526,70410,Romania,73.0
527,70410,Russian Federation,29.75
528,70410,Saint Kitts and Nevis,67.25
529,70410,Saint Lucia,62.5
530,70410,Saint Vincent and the Grenadines,65.5
531,70410,Samoa,60.5
532,70410,Sao Tome and Principe,60.25
533,70410,Senegal,48.25
534,70410,Seychelles,64.0
535,70410,Sierra Leone,47.75
536,70410,Singapore,58.25
537,70410,Slovakia,50.5
538,70410,Slovenia,51.0
539,70410,Solomon Isds,50.0
540,70410,South Africa,8.75
541,70410,Spain,12.5
542,70410,Sri Lanka,32.0
543,70410,Sudan,62.75
544,70410,Suriname,49.5
545,70410,Swaziland,66.25
546,70410,Timor-Leste,30.0
547,70410,Togo,51.25
548,70410,Tunisia,43.75
549,70410,Turkey,10.5
550,70410,Uganda,60.0
551,70410,Ukraine,37.0
552,70410,United Rep. of Tanzania,59.0
553,70410,Uruguay,21.75
554,70410,USA,27.25
555,70410,Viet Nam,44.5
556,70410,Afghanistan,23.75
557,70410,Bahrain,52.5
558,70410,Cambodia,62.0
559,70410,Ethiopia,40.0
560,70410,Greenland,46.25
561,70410,Malta,62.5
562,70410,Niger,41.75
563,70410,"Other Asia, nes",61.5
564,70410,Panama,47.75
565,70410,Qatar,77.0
566,70410,Rwanda,46.75
567,70410,Saudi Arabia,45.25
568,70410,Thailand,71.75
569,70410,United Arab Emirates,29.25
570,70410,Bahamas,73.0
571,70410,Bangladesh,25.0
572,70410,French Polynesia,71.0
573,70410,Lao People's Dem. Rep.,40.75
574,70410,New Caledonia,51.25
575,70410,Trinidad and Tobago,47.0
576,70410,Yemen,63.0
577,70410,Angola,57.25
578,70410,Tonga,42.25
579,70410,FS Micronesia,60.25
580,70410,State of Palestine,12.75
581,70410,Venezuela,25.25
582,70410,Bhutan,40.25
583,70410,Comoros,41.5
584,70410,Dominica,64.75
585,70410,Papua New Guinea,71.5
586,70410,Turks and Caicos Isds,68.25
587,70410,"China, Macao SAR",70.25
588,70410,Kiribati,61.5
589,70410,Guinea,62.0
590,70410,Andorra,46.0
591,70410,Vanuatu,31.25
592,70410,Fmr Sudan,26.0
593,70410,Faeroe Isds,32.5
594,70410,Gabon,32.5
595,70410,Mayotte,32.5
596,70410,Neth. Antilles,32.5
597,70410,Anguilla,32.5
598,70410,Cuba,32.5
599,70410,Serbia and Montenegro,32.5
600,70410,Eritrea,32.5
601,70410,Iraq,32.0
