,comm_code,score
0,70410,60
1,70390,50
2,71021,61
3,71080,82
4,71090,82
5,71333,62
6,70820,71
7,60120,87
8,100620,98
9,100630,100
10,100610,68
11,51191,91
12,50290,93
13,90210,79
14,20319,66
15,20622,8
16,20629,72
17,20743,89
18,30239,73
19,40221,75
20,40819,72
21,40900,85
22,30791,79
23,110319,61
24,110630,87
25,120999,92
26,170310,100
27,170410,90
28,170490,87
29,152200,87
30,190510,100
31,200110,46
32,200490,92
33,200510,93
34,200820,100
35,200891,54
36,210220,78
37,210330,83
38,210420,97
39,220900,81
40,230400,34
41,230990,92
42,200840,93
43,250840,92
44,252321,87
45,251612,66
46,262040,39
47,290329,0
48,290544,0
49,291811,0
50,292129,0
51,270710,87
52,271490,75
53,280920,44
54,283640,85
55,283919,78
56,292910,0
57,300590,91
58,300610,67
59,310510,74
60,320820,77
61,320910,74
62,321210,66
63,321511,81
64,320411,86
65,320415,77
66,320420,80
67,340319,77
68,340490,90
69,340520,78
70,330730,78
71,350610,85
72,360300,71
73,381190,76
74,380610,52
75,380630,61
76,380993,69
77,391723,78
78,391739,78
79,392111,66
80,392119,87
81,392350,80
82,390110,91
83,390120,91
84,390720,87
85,390750,77
86,391190,80
87,391239,64
88,391722,62
89,392092,87
90,392340,75
91,400241,89
92,400251,95
93,400599,99
94,401694,65
95,420100,77
96,420292,87
97,441700,63
98,442010,93
99,442090,96
100,480220,82
101,481710,77
102,480431,41
103,481200,94
104,511300,80
105,540720,70
106,540810,69
107,540823,61
108,540833,72
109,520821,82
110,520831,72
111,530890,82
112,550690,77
113,551694,71
114,560790,94
115,560410,90
116,560900,77
117,581099,94
118,580430,86
119,570249,72
120,610349,82
121,610463,84
122,610711,83
123,611420,76
124,610130,83
125,610721,63
126,590610,81
127,620193,72
128,620211,41
129,620343,80
130,620721,78
131,621220,70
132,620191,61
133,620811,78
134,591140,66
135,590320,77
136,590390,86
137,630210,74
138,630221,68
139,630619,81
140,630629,68
141,640299,91
142,640359,78
143,650100,78
144,670420,94
145,681599,72
146,690390,91
147,711019,63
148,710410,91
149,721990,86
150,720510,87
151,731420,61
152,731816,85
153,732111,71
154,721041,92
155,722012,50
156,722550,60
157,722720,47
158,722850,69
159,732290,63
160,730650,77
161,730792,88
162,731590,88
163,731600,68
164,731824,90
165,740400,90
166,740811,73
167,740911,81
168,741510,83
169,810600,53
170,821192,84
171,821510,95
172,820150,53
173,820760,82
174,820780,96
175,830140,82
176,830520,78
177,830810,82
178,850153,0
179,850511,0
180,850590,0
181,852719,0
182,854129,0
183,850164,0
184,850410,0
185,860729,59
186,870323,87
187,870810,85
188,870893,85
189,880240,72
190,910700,77
191,901910,74
192,902000,71
193,902720,54
194,903190,70
195,903010,68
196,920991,69
197,940290,80
198,940599,87
199,960820,87
200,950629,96
201,950632,96
202,950611,65
